sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
cello_F4_pp,cello,ordinary,F4,pp,21.179177,cello_ordinary_cdm.json
cello_F4_mf,cello,ordinary,F4,mf,23.451573,cello_ordinary_cdm.json
cello_F4_ff,cello,ordinary,F4,ff,23.023424,cello_ordinary_cdm.json
cello_F#4_pp,cello,ordinary,F#4,pp,22.374843,cello_ordinary_cdm.json
cello_F#4_mf,cello,ordinary,F#4,mf,21.349686,cello_ordinary_cdm.json
cello_F#4_ff,cello,ordinary,F#4,ff,21.845358,cello_ordinary_cdm.json
cello_G4_pp,cello,ordinary,G4,pp,21.699611,cello_ordinary_cdm.json
cello_G4_mf,cello,ordinary,G4,mf,21.163073,cello_ordinary_cdm.json
cello_G4_ff,cello,ordinary,G4,ff,17.128173,cello_ordinary_cdm.json
cello_G#4_pp,cello,ordinary,G#4,pp,18.691884,cello_ordinary_cdm.json
cello_G#4_mf,cello,ordinary,G#4,mf,21.259118,cello_ordinary_cdm.json
cello_G#4_ff,cello,ordinary,G#4,ff,17.431502,cello_ordinary_cdm.json
cello_A4_pp,cello,ordinary,A4,pp,24.226556,cello_ordinary_cdm.json
cello_A4_mf,cello,ordinary,A4,mf,24.103264,cello_ordinary_cdm.json
cello_A4_ff,cello,ordinary,A4,ff,18.158724,cello_ordinary_cdm.json
cello_A#4_pp,cello,ordinary,A#4,pp,17.306435,cello_ordinary_cdm.json
cello_A#4_mf,cello,ordinary,A#4,mf,18.359962,cello_ordinary_cdm.json
cello_A#4_ff,cello,ordinary,A#4,ff,15.449162,cello_ordinary_cdm.json
cello_B4_pp,cello,ordinary,B4,pp,18.451023,cello_ordinary_cdm.json
cello_B4_mf,cello,ordinary,B4,mf,19.099653,cello_ordinary_cdm.json
cello_B4_ff,cello,ordinary,B4,ff,16.195283,cello_ordinary_cdm.json
cello_C5_pp,cello,ordinary,C5,pp,14.056379,cello_ordinary_cdm.json
cello_C5_mf,cello,ordinary,C5,mf,14.224319,cello_ordinary_cdm.json
cello_C5_ff,cello,ordinary,C5,ff,13.389095,cello_ordinary_cdm.json
cello_C#5_pp,cello,ordinary,C#5,pp,11.866304,cello_ordinary_cdm.json
cello_C#5_mf,cello,ordinary,C#5,mf,14.890799,cello_ordinary_cdm.json
cello_C#5_ff,cello,ordinary,C#5,ff,13.08251,cello_ordinary_cdm.json
cello_D5_pp,cello,ordinary,D5,pp,14.885888,cello_ordinary_cdm.json
cello_D5_mf,cello,ordinary,D5,mf,15.567181,cello_ordinary_cdm.json
